tipoPropiedad,precioUSD,fechaUltimaActualizacion,terrenoTotal,terrenoEdificado,cantDormitorios,cantBanos,cantCochera,barrio,coordX,coordY,vendedor,comisariaCercana,transporteCercano,saludCercana,distanciaCentro,pm2,valComisaria,valTransporte,valSalud,valoracionServicios,geometry,barrioName
1,160000,2023-09-14,180.0,166.0,3.0,2.0,2.0,74,-31.4530983266,-64.236126945,0,0.7327587919628253,0.2527882169234854,0.9896862218327508,5.798630869309596,963.855421686747,0,0,0,0,POINT (-64.236126945 -31.4530983266),COSTAS DE MANANTIALES
1,205000,2023-09-15,184.0,130.0,3.0,3.0,1.0,15,-31.4520866,-64.2479514,0,0.8758309845609592,0.1030675820059287,0.4112073406249447,6.644111049564784,1576.923076923077,0,0,0,0,POINT (-64.2479514 -31.4520866),ALTOS DE MANANTIALES
1,93000,2023-09-04,62.0,54.0,1.0,1.0,1.0,190,-31.4550459,-64.2415378,0,0.8362675055392331,0.3528767056990089,0.7597720633302617,6.335075091218788,1722.2222222222222,0,0,0,0,POINT (-64.2415378 -31.4550459),MIRADORES DE MANANTIALES
1,107500,2023-08-14,111.0,111.0,3.0,3.0,2.0,190,-31.452477,-64.243385,0,0.6139445888986077,0.4422021278486132,0.4251985668993478,6.3071334968094765,968.4684684684685,0,0,0,0,POINT (-64.243385 -31.452477),MIRADORES DE MANANTIALES
1,365000,2023-08-21,360.0,330.0,3.0,3.0,2.0,15,-31.4610155,-64.2347753,0,1.5842063197003884,0.2088548355809696,0.7766790382585276,6.302605750887721,1106.060606060606,0,0,0,0,POINT (-64.2347753 -31.4610155),ALTOS DE MANANTIALES
1,139000,2023-09-01,225.0,190.0,3.0,3.0,2.0,180,-31.4567131822,-64.2379453675,0,1.04003212639131,0.0821885086067355,1.1071420923605213,6.18979806971557,731.578947368421,0,0,0,0,POINT (-64.2379453675 -31.4567131822),MANANTIALES
1,119000,2023-08-30,158.0,100.0,2.0,2.0,1.0,74,-31.4529394879,-64.2346044233,0,0.807917400612796,0.1666038982595972,1.1134919169147997,5.67613966436728,1190.0,0,0,0,0,POINT (-64.2346044233 -31.4529394879),COSTAS DE MANANTIALES
2,143000,2023-08-22,98.0,78.0,2.0,1.0,1.0,51,-31.4567379,-64.2371043,0,1.0631603454615175,0.1550918656999991,1.1619591590337222,6.131743145761643,1833.3333333333333,0,0,0,0,POINT (-64.2371043 -31.4567379),CASONAS DE MANANTIALES
2,140000,2023-08-17,159.0,135.0,3.0,3.0,2.0,180,-31.4570237,-64.2383951,2,1.0654107854717747,0.0286288912204933,1.1076146886020064,6.244641622690354,1037.037037037037,0,0,0,0,POINT (-64.2383951 -31.4570237),MANANTIALES
1,124999,2023-08-15,139.0,139.0,3.0,1.0,1.0,190,-31.4537622,-64.2439485,2,0.7655408242737117,0.4890129595401252,0.539798456666282,6.433159294710329,899.273381294964,0,0,0,0,POINT (-64.2439485 -31.4537622),MIRADORES DE MANANTIALES
1,240000,2023-08-04,360.0,210.0,3.0,3.0,2.0,180,-31.45189,-64.235891,0,0.6395004789400919,0.3215457801735225,0.9577964123255298,5.69700910700489,1142.857142857143,0,0,0,0,POINT (-64.235891 -31.45189),MANANTIALES
1,195000,2023-07-31,240.0,200.0,3.0,4.0,2.0,180,-31.4522,-64.240195,2,0.5127131709949947,0.3862310308197549,0.6063373042641537,6.042858445078817,975.0,0,0,0,0,POINT (-64.240195 -31.4522),MANANTIALES
1,480000,2023-07-26,1000.0,350.0,2.0,4.0,5.0,180,-31.457016,-64.238106,2,1.0697337181987596,0.0555401729692279,1.1236858667063412,6.223437385958214,1371.4285714285713,0,0,0,0,POINT (-64.238106 -31.457016),MANANTIALES
1,142500,2023-07-24,250.0,138.0,3.0,3.0,2.0,180,-31.457527,-64.239035,2,1.1120117263495923,0.0579533446773195,1.1186980294816482,6.327169843437274,1032.608695652174,0,0,0,0,POINT (-64.239035 -31.457527),MANANTIALES
1,440000,2023-07-13,1000.0,278.0,4.0,3.0,2.0,180,-31.447729,-64.224572,2,1.384172443099815,0.0289561290395674,1.1429738587139509,4.577890104254647,1582.7338129496402,0,0,0,0,POINT (-64.224572 -31.447729),MANANTIALES
