nombre,descripcion,Latitud,Longitud
AC08 - Alta Cordoba (Parada),Urquiza 2646  Entorno: 15 mts. Curso:0AC08\n LINEA A: 0\n LINEA A1: 0,-31.384484,-64.185203
AC61 - Alta Cordoba (Parada),FAUSTINO ALLENDE  282  Entorno: 15 mts.AC61,-31.401711,-64.182561
AC29 - Alta Cordoba (Parada),Juan Antonio Lavalleja 2660  Entorno: 15 mts. Curso:0AC29\n LINEA 32: 0\n LINEA 36: 0\n LINEA 35: 0,-31.385453,-64.182488
AC01 - Alta Cordoba (Parada Terminal),Urquiza 3078  Entorno: 20 mts. Curso:0AC01\n LINEA A: 0\n LINEA A1: 0,-31.379553,-64.18522
AC35 - Alta Cordoba (Parada),Avellaneda 1890  Entorno: 15 mts. Curso:32AC35\n LINEA 36: 30\n LINEA 35: 32,-31.392863,-64.187475
AC46 - Alta Cordoba (Parada),TUCUMAN 2255  Entorno: 15 mts. Curso:180AC46,-31.389503,-64.178375
AC54 - Alta Cordoba (Parada),GONGORA 330  Entorno: 15 mts. Curso:270AC54,-31.38048,-64.179323
AC72 - Alta Cordoba (Parada Terminal),Urquiza 2025-2090 (Plaza Rivadavia)  Entorno: 50 mts. Curso:20AC72,-31.391381,-64.185441
AC49 - Alta Cordoba (Parada),AV. JUAN B. JUSTO 3672  Entorno: 15 mts. Curso:0AC49,-31.382735,-64.175994
AC63 - Alta Cordoba (Parada),RIVADEO 1490  Entorno: 15 mts. Curso:40AC63,-31.39993,-64.180861
AC38 - Alta Cordoba (Parada),AV. JUAN B. JUSTO 2378  Entorno: 15 mts. Curso:0AC38,-31.397873,-64.175846
AC09 - Alta Cordoba (Parada),Urquiza 2946  Entorno: 15 mts. Curso:0AC09\n LINEA A: 0\n LINEA A1: 0,-31.381096,-64.185206
AC60 - Alta Cordoba (Parada),FAUSTINO ALLENDE 166  Entorno: 15 mts.AC60,-31.402485,-64.180095
AC11 - Alta Cordoba (Parada),Urquiza 1707-1720  Entorno: 15 mts. Curso:200AC11\n LINEA A: 200\n LINEA A1: 200,-31.395078,-64.186978
AC30 - Alta Cordoba (Parada),Juan Antonio Lavalleja 2790  Entorno: 15 mts. Curso:0AC30\n LINEA 32: 0\n LINEA 36: 358\n LINEA 35: 358,-31.382934,-64.182505
AC47 - Alta Cordoba (Parada),TUCUMAN 2405  Entorno: 15 mts. Curso:180AC47,-31.387381,-64.178376
AC33 - Alta Cordoba (Parada),Lavalleja 3246  Entorno: 15 mts. Curso:0AC33\n LINEA 36: 0,-31.377608,-64.182486
AC77 - Alta Cordoba (Parada),Lavalleja 3246  Entorno: 15 mts. Curso:0AC77,-31.37757,-64.182483
AC03 - Alta Cordoba (Parada),Urquiza 2835  Entorno: 15 mts. Curso:180AC03\n LINEA A: 180\n LINEA A1: 180,-31.382538,-64.18522
AC23 - Alta Cordoba (Parada),Mariano Fragueiro 2479  Entorno: 15 mts. Curso:180AC23\n LINEA 32: 180\n LINEA 36: 180\n LINEA 35: 180,-31.386673,-64.183813
AC19 - Alta Cordoba (Parada),Mariano Fragueiro 1709  Entorno: 15 mts. Curso:200AC19\n LINEA 32: 200\n LINEA 36: 200\n LINEA 35: 200,-31.395511,-64.185726
AC40 - Alta Cordoba (Parada Terminal),AV. JUAN B. JUSTO 2948  Entorno: 15 mts. Curso:0AC40,-31.390825,-64.175928
AC56 - Alta Cordoba (Parada),GONGORA 758  Entorno: 15 mts. Curso:270AC56\n LINEA 35: 274,-31.380496,-64.184636
AC66 - Alta Cordoba (Parada),GONGORA 849  Entorno: 10 mts. Curso:90AC66,-31.380506,-64.185721
